StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q8_1,Q8_4,Q8_5,Q8_6,Q8_7,Q8_7_TEXT,Q9_1,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_12_TEXT,Q11,Q12,Q13,Q15_1,Q15_4,Q15_13,Q15_12,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Your Consent If you want to participate in this study, click the “Agree” button to start the survey.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Some UC students need to take remedial courses to be able to succeed.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Succeeding academically requires an aptitude that not all UC students have.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Some UC students have an innate gift or talent for academics.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - With enough effort and dedication, any UC student can be successful academically.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Diversifying the UC student body would require us to lower our admission standards.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Acknowledging and responding to cultural differences is critical to helping all students learn.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Courses can always be taught better to improve student learning.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Equitable teaching means compromising on the rigor of the course.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Effective course design can enable all students to succeed academically.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Any course can be designed or redesigned to enable all students to learn.",We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Supporting the success of students with a diverse range of identities,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Using equitable grading strategies,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Establishing and managing an inclusive classroom environment,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Developing and using accessible course materials,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Planning class sessions that anticipate the need for accommodations,"We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Facilitating difficult conversations, especially on topics related to identity",We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Recognizing the impact of your own identities on how you teach,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Fostering emotional and mental wellbeing for your students,"How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Asynchronous (e.g. Canvas site, online readings)",How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Synchronous online (e.g. Zoom meeting),"How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - In-person (e.g. on-campus workshop, faculty learning community)",How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),"How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Another format, please describe:","How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Another format, please describe: - Text",Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Case studies,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Discussion prompts,"Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Expert interviews  ",Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Podcasts,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Scholarly articles,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Short video clips,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Simulations,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Testimonials,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Theoretical frameworks,"Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Another resource, please describe:","Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Another resource, please describe: - Text",At which UC campus do you currently teach?,"Which of the following best describes your current job title/role? If you hold multiple positions or titles, please select the one that is most relevant to being an instructor on a UC campus.",In which discipline/field do you most often teach? Please select the best option. Note that these disciplinary categories are purposefully broad to help individual respondents to maintain their anonymity when responding to this survey.,"Please select all that apply. I identify as… - A Black, Indigenous, and/or person of color (BIPOC)","Please select all that apply. I identify as… - A transgender, non-binary, and/or genderqueer person",Please select all that apply. I identify as… - A member of the LGBTQIA+ community,Please select all that apply. I identify as… - A person with a minoritized gender identity in my disicpline,Please select all that apply. I identify as… - A person living with a disability,Please select all that apply. I identify as… - A person who is neurodivergent,Please select all that apply. I identify as… - A person who is first in my family to go to college,Please select all that apply. I identify as… - A person from a low-income family background,Please select all that apply. I identify as… - A person who immigrated to the United States,Please select all that apply. I identify as… - Decline to state,Please select all that apply. I identify as… - None of the above
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID10"",""choiceId"":""1""}","{""ImportId"":""QID10"",""choiceId"":""4""}","{""ImportId"":""QID10"",""choiceId"":""5""}","{""ImportId"":""QID10"",""choiceId"":""6""}","{""ImportId"":""QID10"",""choiceId"":""7""}","{""ImportId"":""QID10_7_TEXT""}","{""ImportId"":""QID11"",""choiceId"":""1""}","{""ImportId"":""QID11"",""choiceId"":""4""}","{""ImportId"":""QID11"",""choiceId"":""5""}","{""ImportId"":""QID11"",""choiceId"":""6""}","{""ImportId"":""QID11"",""choiceId"":""7""}","{""ImportId"":""QID11"",""choiceId"":""8""}","{""ImportId"":""QID11"",""choiceId"":""9""}","{""ImportId"":""QID11"",""choiceId"":""10""}","{""ImportId"":""QID11"",""choiceId"":""11""}","{""ImportId"":""QID11"",""choiceId"":""12""}","{""ImportId"":""QID11_12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17"",""choiceId"":""1""}","{""ImportId"":""QID17"",""choiceId"":""4""}","{""ImportId"":""QID17"",""choiceId"":""13""}","{""ImportId"":""QID17"",""choiceId"":""12""}","{""ImportId"":""QID17"",""choiceId"":""5""}","{""ImportId"":""QID17"",""choiceId"":""6""}","{""ImportId"":""QID17"",""choiceId"":""7""}","{""ImportId"":""QID17"",""choiceId"":""8""}","{""ImportId"":""QID17"",""choiceId"":""9""}","{""ImportId"":""QID17"",""choiceId"":""10""}","{""ImportId"":""QID17"",""choiceId"":""11""}"
2025-09-12 08:42:09,2025-09-12 08:42:20,IP Address,76.102.247.118,100,11,True,2025-09-12 08:42:20,R_6eRAonwN0LYh66d,,,,,37.3209,-121.9126,anonymous,EN,Decline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-12 08:42:29,2025-09-12 08:43:51,IP Address,76.102.247.118,100,81,True,2025-09-12 08:43:51,R_7gSf9Ckv9RI55CU,,,,,37.3209,-121.9126,anonymous,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scholarly articles,,,Testimonials,,,,,,,,,,,,,,,,,
2025-09-13 22:14:17,2025-09-13 22:14:22,Survey Preview,,100,4,True,2025-09-13 22:14:22,R_5iI6HIt9Hqrl5y9,,,,,38.2442,-122.678,preview,EN,Decline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-13 22:18:20,2025-09-13 22:18:23,Survey Preview,,100,3,True,2025-09-13 22:18:24,R_5alty9mQOVuTxca,,,,,38.2442,-122.678,preview,EN,Decline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-11 17:24:20,2025-09-11 17:24:57,IP Address,136.152.214.75,13,36,False,2025-09-18 17:24:58,R_6F5KQH8aG7sUv0I,,,,,37.8736,-122.257,anonymous,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19 12:38:38,2025-09-19 14:00:53,IP Address,50.224.160.106,100,4934,True,2025-09-19 14:00:54,R_7ptn3VDIhNoLMKa,,,,,37.8906,-122.2936,anonymous,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-22 08:33:06,2025-09-22 08:52:36,IP Address,76.102.247.118,100,1170,True,2025-09-22 08:52:36,R_6eFqEyygiXQjqyB,,,,,37.3209,-121.9126,anonymous,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-22 08:52:39,2025-09-22 08:52:42,IP Address,76.102.247.118,100,3,True,2025-09-22 08:52:43,R_6kdDzdYBB27gMP7,,,,,37.3209,-121.9126,anonymous,EN,Decline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
