Finished,RecordedDate,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q8_1,Q8_4,Q8_5,Q8_6,Q8_7,Q8_7_TEXT,Q9_1,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_12_TEXT,Q11,Q12,Q13,Q15_1,Q15_4,Q15_13,Q15_12,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
Finished,Recorded Date,"Your Consent If you want to participate in this study, click the “Agree” button to start the survey.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Some UC students need to take remedial courses to be able to succeed.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Succeeding academically requires an aptitude that not all UC students have.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Some UC students have an innate gift or talent for academics.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - With enough effort and dedication, any UC student can be successful academically.","Thinking about students in the University of California (UC) system, please rate the extent to which you agree with each of the following statements: - Diversifying the UC student body would require us to lower our admission standards.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Acknowledging and responding to cultural differences is critical to helping all students learn.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Courses can always be taught better to improve student learning.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Equitable teaching means compromising on the rigor of the course.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Effective course design can enable all students to succeed academically.","Thinking about teaching in general, please rate the extent to which you agree with each of the following statements: - Any course can be designed or redesigned to enable all students to learn.",We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Supporting the success of students with a diverse range of identities,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Using equitable grading strategies,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Establishing and managing an inclusive classroom environment,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Developing and using accessible course materials,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Planning class sessions that anticipate the need for accommodations,"We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Facilitating difficult conversations, especially on topics related to identity",We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Recognizing the impact of your own identities on how you teach,We would like to hear more about your engagement with different teaching practices.  Please rate how confident you feel in engaging in each of the following areas of teaching: - Fostering emotional and mental wellbeing for your students,"How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Asynchronous (e.g. Canvas site, online readings)",How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Synchronous online (e.g. Zoom meeting),"How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - In-person (e.g. on-campus workshop, faculty learning community)",How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),"How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Selected Choice - Another format, please describe:","How do you prefer to engage in professional development opportunities as part of your instructor role? Please select all that apply. - Another format, please describe: - Text",Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Case studies,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Discussion prompts,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Expert interviews,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Podcasts,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Scholarly articles,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Short video clips,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Simulations,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Testimonials,Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Theoretical frameworks,"Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Selected Choice - Another resource, please describe:","Which resource to develop your ability to effectively teach all UC students would interest you the most? Please select no more than 3 options. - Another resource, please describe: - Text",At which UC campus do you currently teach?,"Which of the following best describes your current job title/role? If you hold multiple positions or titles, please select the one that is most relevant to being an instructor on a UC campus.",In which discipline/field do you most often teach? Please select the best option. Note that these disciplinary categories are purposefully broad to help individual respondents to maintain their anonymity when responding to this survey.,"Please select all that apply. I identify as… - A Black, Indigenous, and/or person of color (BIPOC)","Please select all that apply. I identify as… - A transgender, non-binary, and/or genderqueer person",Please select all that apply. I identify as… - A member of the LGBTQIA+ community,Please select all that apply. I identify as… - A person with a minoritized gender identity in my disicpline,Please select all that apply. I identify as… - A person living with a disability,Please select all that apply. I identify as… - A person who is neurodivergent,Please select all that apply. I identify as… - A person who is first in my family to go to college,Please select all that apply. I identify as… - A person from a low-income family background,Please select all that apply. I identify as… - A person who immigrated to the United States,Please select all that apply. I identify as… - Decline to state,Please select all that apply. I identify as… - None of the above
TRUE,9/23/25 13:58,Agree,Neutral,Neutral,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Moderately confident,Very confident,Very confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,"Another format, please describe:","organized visits of colleagues to each other's classes, and review of course materials",,,,,,,,,,"Another resource, please describe:","collegial attention to each others' teaching.  The way we do research, duh...",UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,10/3/25 9:32,Agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Unsure / Unapplicable,Somewhat disagree,Somewhat agree,Strongly agree,Slightly confident,Very confident,Slightly confident,Slightly confident,Slightly confident,Not confident at all,Moderately confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,Case studies,,,,,Short video clips,Simulations,,,,,UC Berkeley,Senate Faculty,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,Decline to state,
TRUE,11/3/25 12:07,Agree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Very confident,Unsure / Unapplicable,Very confident,Not confident at all,Moderately confident,Unsure / Unapplicable,Very confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,,,,"Another resource, please describe:",Training in making accessible digital materials,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,A person who immigrated to the United States,,
TRUE,9/23/25 13:58,Agree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Moderately confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,Expert interviews,,Scholarly articles,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,,,,A person who is neurodivergent,A person who is first in my family to go to college,A person from a low-income family background,,,
TRUE,10/2/25 9:52,Agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Slightly confident,Slightly confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,,,Testimonials,,,,UC Berkeley,Graduate Student Instructor,"History, Languages, and Literatures",,,,,,,,,,,None of the above
TRUE,10/2/25 11:33,Agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Slightly confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,,,,,Scholarly articles,,,,,,,UC Berkeley,Graduate Student Instructor,"History, Languages, and Literatures",,,A member of the LGBTQIA+ community,,,,,,,,
TRUE,10/3/25 10:00,Agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Moderately confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,Discussion prompts,,,,,,,Theoretical frameworks,"Another resource, please describe:",in person in service days and or classes,UC Berkeley,Another role,"Creative and Performing Arts, Media, and Design",,,,,,,,,,Decline to state,
TRUE,10/20/25 10:37,Agree,Somewhat agree,Neutral,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Very confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,Discussion prompts,,,,,,,,"Another resource, please describe:",conversations with colleagues,UC Santa Cruz,Senate Faculty,Social Sciences and Area Studies,,,,,A person living with a disability,,,,,,
TRUE,11/4/25 10:56,Agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,Moderately confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,,Discussion prompts,,,,,Simulations,,Theoretical frameworks,,,UC Merced,Senate Faculty,Another discipline,,,,,,,,,,,None of the above
TRUE,11/6/25 13:45,Agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Very confident,Very confident,Moderately confident,Moderately confident,Slightly confident,Very confident,Moderately confident,Very confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,Discussion prompts,,,,Short video clips,,,Theoretical frameworks,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,A person from a low-income family background,,,
TRUE,9/23/25 14:11,Agree,Strongly agree,Neutral,Neutral,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,Very confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,,Testimonials,Theoretical frameworks,,,UC Berkeley,Another role,"Creative and Performing Arts, Media, and Design",,,,,,,,A person from a low-income family background,,,
TRUE,9/23/25 18:29,Agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Unsure / Unapplicable,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Unsure / Unapplicable,Unsure / Unapplicable,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,,Short video clips,,,,"Another resource, please describe:",Other instructors at UC describing their experiences.,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Science, Technology, Engineering, and Math (STEM)",,,,,,,,,A person who immigrated to the United States,,
TRUE,9/23/25 20:32,Agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Slightly confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Not confident at all,"Asynchronous (e.g. Canvas site, online readings)",,"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,Podcasts,Scholarly articles,,,,,,,UC Berkeley,Decline to state,Social Sciences and Area Studies,,,,A person with a minoritized gender identity in my disicpline,,,,,,,
TRUE,10/20/25 10:46,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Unsure / Unapplicable,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,Discussion prompts,,,,,,,Theoretical frameworks,,,UC Santa Cruz,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,A person who is neurodivergent,,,,,
TRUE,10/24/25 16:23,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Moderately confident,Very confident,Moderately confident,Moderately confident,Very confident,Slightly confident,Very confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,,,,,,"Another resource, please describe:","tangible templates, handouts, etc. to tweak to my own course needs",UC Santa Cruz,Senate Faculty,Social Sciences and Area Studies,,,,,A person living with a disability,,,,,,
TRUE,10/29/25 15:51,Agree,Strongly agree,Neutral,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Moderately confident,Moderately confident,Very confident,Very confident,Moderately confident,Slightly confident,Slightly confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,Expert interviews,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Graduate Student Instructor,"History, Languages, and Literatures",,,,,,,,,,,None of the above
TRUE,10/30/25 10:13,Agree,,Neutral,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Neutral,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,,,,,,"Another resource, please describe:",N/a,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,,,,None of the above
TRUE,10/29/25 9:24,Agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Very confident,Very confident,Very confident,Moderately confident,Very confident,Very confident,Unsure / Unapplicable,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,,,Simulations,,Theoretical frameworks,"Another resource, please describe:",Expect admin support,UC Berkeley,Senate Faculty,Another discipline,,,A member of the LGBTQIA+ community,A person with a minoritized gender identity in my disicpline,A person living with a disability,A person who is neurodivergent,A person who is first in my family to go to college,A person from a low-income family background,A person who immigrated to the United States,,
TRUE,9/23/25 14:29,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,,,,,Scholarly articles,Short video clips,,,,"Another resource, please describe:",Interactive discussions,UC Berkeley,Another role,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,9/23/25 16:27,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Moderately confident,Slightly confident,Moderately confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,,,"Another format, please describe:",Please record sessions and make them accessible after hours. Many of us work day jobs,,,,,,Short video clips,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,,None of the above
TRUE,9/23/25 17:30,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,9/24/25 15:39,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Very confident,Very confident,Moderately confident,Very confident,Very confident,Very confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,Simulations,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,A person living with a disability,,A person who is first in my family to go to college,A person from a low-income family background,A person who immigrated to the United States,,
TRUE,9/24/25 17:37,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Very confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Very confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,Expert interviews,,,Short video clips,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,,A person with a minoritized gender identity in my disicpline,,,,,,,
TRUE,9/25/25 12:43,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Not confident at all,Moderately confident,Slightly confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,,Discussion prompts,,,,Short video clips,,Testimonials,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)","A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
TRUE,10/2/25 12:03,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",,,,,,,,,,Scholarly articles,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,Decline to state,
